Period;Begin;Duration (Hours);Air temperature - average (°C);Humidity;Air temperature - average (°C);Solar radiation - horizontal (Wh/m²);Heating degree-days 16°C (°C-d)
1;2015-02-02T14:19:00;0.68333333333333335;23.655443089512183;27.037040650487796;2;143.10366666666667;0.39861111111111108
2;2015-02-02T15:00:00;1;23.286755555666659;28.415088094833319;0.8;99.51;0.6333333333333333
3;2015-02-02T16:00:00;1;22.773952777833305;26.747504364833304;-1.16;11.55;0.715
4;2015-02-02T17:00:00;1;22.533527777833314;24.973978373166645;-1.81;0;0.74208333333333321
5;2015-02-02T18:00:00;1;21.991019444333325;24.587761111166646;-2.27;0;0.76125
6;2015-02-02T19:00:00;1;21.279824999999981;23.84148611099998;-2.52;0;0.77166666666666661
7;2015-02-02T20:00:00;1;21.004861110833311;23.305008333333316;-2.65;0;0.77708333333333324
8;2015-02-02T21:00:00;1;20.882911111166646;22.86346666666666;-2.7;0;0.77916666666666656
9;2015-02-02T22:00:00;1;20.738424999999989;22.502658333499973;-2.76;0;0.78166666666666651
10;2015-02-02T23:00:00;1;20.673055555666643;22.282549999999969;-2.88;0;0.78666666666666663
11;2015-02-03T00:00:00;1;20.589250000000003;22.233649999999987;-3.03;0;0.79291666666666671
12;2015-02-03T01:00:00;1;20.574777777999991;22.188983333166654;-3.19;0;0.79958333333333331
13;2015-02-03T02:00:00;1;20.512166666499976;22.301513888999974;-3.27;0;0.80291666666666661
14;2015-02-03T03:00:00;1;20.467549999999989;22.397230555499981;-3.23;0;0.80125
15;2015-02-03T04:00:00;1;20.389333333333319;22.49055833316665;-3.14;0;0.7975
16;2015-02-03T05:00:00;1;20.331527777666636;22.598888888833326;-2.92;0;0.78833333333333333
17;2015-02-03T06:00:00;1;20.308799999833312;22.73201111116666;-2.8;0;0.78333333333333333
18;2015-02-03T07:00:00;1;20.307863888999982;23.082816666666645;-2.54;8.09;0.7725
19;2015-02-03T08:00:00;1;20.765397222166648;24.669405555499985;-1.32;72.03;0.72166666666666668
20;2015-02-03T09:00:00;1;21.260205555833323;26.248925991666653;0.29;189.8;0.65458333333333329
21;2015-02-03T10:00:00;1;21.765107539666644;28.046469841666642;1.8;265.76;0.59166666666666656
22;2015-02-03T11:00:00;1;22.121099999999981;28.003433730166645;2.69;293.3;0.55458333333333332
23;2015-02-03T12:00:00;1;22.579813888999983;26.898655555499978;3;302.17;0.54166666666666663
24;2015-02-03T13:00:00;1;23.215281349166652;25.722487301499989;2.93;234.62;0.54458333333333331
25;2015-02-03T14:00:00;1;23.281211507833316;27.629127777499974;2.44;190.5;0.565
26;2015-02-03T15:00:00;1;22.964461507999982;30.323471031833314;0.85;98.39;0.63125
27;2015-02-03T16:00:00;1;22.763441666666655;31.096111904833307;-0.6;11.81;0.69166666666666665
28;2015-02-03T17:00:00;1;22.681608333333305;30.935023412666627;-1.28;0;0.72
29;2015-02-03T18:00:00;1;22.17673611099999;29.642691666833318;-1.65;0;0.73541666666666661
30;2015-02-03T19:00:00;1;21.461036110999967;28.1420083333333;-1.9;0;0.74583333333333324
31;2015-02-03T20:00:00;1;21.18194444449998;27.06619444449997;-2.19;0;0.75791666666666668
32;2015-02-03T21:00:00;1;21.026222222166652;26.222313888833323;-1.72;0;0.73833333333333329
33;2015-02-03T22:00:00;1;20.905291666666649;25.601819444499988;-0.89;0;0.70375
34;2015-02-03T23:00:00;1;20.890999999999973;25.089786111166649;-1.06;0;0.71083333333333321
35;2015-02-04T00:00:00;1;20.840166666833309;24.950394444999986;-1.46;0;0.7275
36;2015-02-04T01:00:00;1;20.758016666666641;25.00732499999997;-1.81;0;0.74208333333333321
37;2015-02-04T02:00:00;1;20.690583333333315;25.043305555666649;-2.2;0;0.7583333333333333
38;2015-02-04T03:00:00;1;20.699999999999985;24.699185714333318;-2.59;0;0.77458333333333329
39;2015-02-04T04:00:00;1;20.698666666666647;24.533449999833334;-2.81;0;0.78375
40;2015-02-04T05:00:00;1;20.633222222333327;24.402208332999983;-3.22;0;0.80083333333333329
41;2015-02-04T06:00:00;1;20.57663888883333;24.141888888999993;-3.38;0;0.80749999999999988
42;2015-02-04T07:00:00;1;20.50594444466665;24.001808333166643;-3.25;13.02;0.80208333333333326
43;2015-02-04T08:00:00;1;20.955167063499971;25.198580555666652;-2.2;103.59;0.7583333333333333
44;2015-02-04T09:00:00;1;22.244259126999982;25.742023412833323;-0.4;236.46;0.68333333333333324
45;2015-02-04T10:00:00;1;24.073849205499993;25.902861905999991;1.69;335.09;0.59625
46;2015-02-04T11:00:00;1;24.40833333;25.68166667;3.2;368.04;0.53333333333333333
47;2015-02-04T12:00:00;1;24.40833333;25.68166667;3.74;355.55;0.51083333333333325
48;2015-02-04T13:00:00;1;24.40833333;25.68166667;3.82;256.25;0.5075
49;2015-02-04T14:00:00;1;24.40833333;25.68166667;3.42;189.09;0.52416666666666667
