date,lmd_temperature,lmd_umidity,lmd-light,CO2,HumidityRatio,nwp_temperature,nwp_solar_radiation,hdd,occupancy
2/2/2015 14:00,23.65711789,27.02371951,499.9781069,898.7848432,0.00488853,2,143.104,0.399,1
2/2/2015 15:00,23.29395,28.41242976,456.7190476,1103.18631,0.005029713,0.8,99.51,0.633,1
2/2/2015 16:00,22.77314208,26.73745238,434.838993,979.5660031,0.004584852,-1.16,11.55,0.715,1
2/2/2015 17:00,22.53451977,24.97212772,426.7361582,822.5628531,0.004216665,-1.81,0,0.742,1
2/2/2015 18:00,21.99337222,24.59596667,32.98416667,720.4002778,0.004018426,-2.27,0,0.761,1
2/2/2015 19:00,21.2763306,23.84094262,0,584.9442623,0.003725439,-2.52,0,0.772,0
2/2/2015 20:00,21.00533898,23.30202542,0,513.7556497,0.00358005,-2.65,0,0.777,0
2/2/2015 21:00,20.88179444,22.86668611,0,480.2852778,0.003485966,-2.7,0,0.779,0
2/2/2015 22:00,20.73666393,22.50168033,0,461.3918033,0.003399318,-2.76,0,0.782,0
2/2/2015 23:00,20.67179379,22.27859322,0,451.9836158,0.003351944,-2.88,0,0.787,0
2/3/2015 0:00,20.58811111,22.230025,0,449.3913889,0.003327273,-3.03,0,0.793,0
2/3/2015 1:00,20.57464481,22.19178689,0,447.2434426,0.003318745,-3.19,0,0.8,0
2/3/2015 2:00,20.51361582,22.30086158,0,440.8019774,0.003322543,-3.27,0,0.803,0
2/3/2015 3:00,20.4703,22.39974722,0,435.1944444,0.003328413,-3.23,0,0.801,0
2/3/2015 4:00,20.38934426,22.49086339,0,434.9852459,0.003325265,-3.14,0,0.798,0
2/3/2015 5:00,20.33039548,22.59887006,0,435.7980226,0.003329089,-2.92,0,0.788,0
2/3/2015 6:00,20.30874444,22.73006111,0,434.8838889,0.003344041,-2.8,0,0.783,0
2/3/2015 7:00,20.30861749,23.09361475,165.1289617,460.6071038,0.003398176,-2.54,8.09,0.773,1
2/3/2015 8:00,20.76822881,24.67269774,426.9240113,651.5615819,0.003736825,-1.32,72.03,0.722,1
2/3/2015 9:00,21.25810833,26.23355099,452.3822222,867.7397222,0.004098261,0.29,189.8,0.655,1
2/3/2015 10:00,21.76397775,28.0474477,491.8195941,1115.088212,0.004521185,1.8,265.76,0.592,1
2/3/2015 11:00,22.12266102,28.00020097,542.8423325,1168.05337,0.004613614,2.69,293.3,0.555,1
2/3/2015 12:00,22.57743333,26.9067,620.3183333,1039.705833,0.004556836,3,302.17,0.542,1
2/3/2015 13:00,23.21695706,25.72436456,451.4054254,932.6276347,0.004529224,2.93,234.62,0.545,1
2/3/2015 14:00,23.2799778,27.63010734,513.272841,1055.239023,0.004885903,2.44,190.5,0.565,1
2/3/2015 15:00,22.96635952,30.32129603,461.8734127,1307.314564,0.005264135,0.85,98.39,0.631,1
2/3/2015 16:00,22.76334426,31.0983224,443.9505855,1375.677322,0.005333838,-0.6,11.81,0.692,1
2/3/2015 17:00,22.68023729,30.93379782,429.5553672,1327.872881,0.005278663,-1.28,0,0.72,1
2/3/2015 18:00,22.179875,29.64937222,90.99333333,1107.8875,0.004907353,-1.65,0,0.735,1
2/3/2015 19:00,21.4593388,28.14412842,0,849.1519126,0.004452754,-1.9,0,0.746,0
2/3/2015 20:00,21.18138418,27.0615113,0,706.3036723,0.004206991,-2.19,0,0.758,0
2/3/2015 21:00,21.02713889,26.22803056,0,623.0158333,0.004037884,-1.72,0,0.738,0
2/3/2015 22:00,20.90539617,25.59903005,0,578.8193989,0.003910836,-0.89,0,0.704,0
2/3/2015 23:00,20.89148305,25.08891525,0,557.9206215,0.003829076,-1.06,0,0.711,0
2/4/2015 0:00,20.84116667,24.94788889,0,542.3211111,0.003795585,-1.46,0,0.728,0
2/4/2015 1:00,20.75817213,25.00684973,0,517.8759563,0.00378508,-1.81,0,0.742,0
2/4/2015 2:00,20.69220339,25.04440678,0,494.030226,0.003775346,-2.2,0,0.758,0
2/4/2015 3:00,20.70075,24.69907063,0,481.0245635,0.003724952,-2.59,0,0.775,0
2/4/2015 4:00,20.69868852,24.53424044,0,469.4614754,0.003699474,-2.81,0,0.784,0
2/4/2015 5:00,20.63435028,24.40311017,0,464.1799435,0.003664962,-3.22,0,0.801,0
2/4/2015 6:00,20.57697222,24.14411111,0,464.3963889,0.003612941,-3.38,0,0.807,0
2/4/2015 7:00,20.50912295,24.0123388,154.8948087,486.0581967,0.003578184,-3.25,13.02,0.802,1
2/4/2015 8:00,20.95784221,25.2025452,439.7898305,683.0298224,0.003862605,-2.2,103.59,0.758,1
2/4/2015 9:00,22.23491468,25.74387619,650.0855556,920.1085317,0.004270702,-0.4,236.46,0.683,1
2/4/2015 10:00,23.94688528,25.98720563,770.4208333,1132.803355,0.00478402,1.69,335.09,0.596,1
2/4/2015 11:00,0,0,0,0,0,0,0,0,0
2/4/2015 12:00,0,0,0,0,0,0,0,0,0
2/4/2015 13:00,0,0,0,0,0,0,0,0,0
2/4/2015 14:00,0,0,0,0,0,0,0,0,0
2/4/2015 15:00,0,0,0,0,0,0,0,0,0
2/4/2015 16:00,0,0,0,0,0,0,0,0,0
2/4/2015 17:00,23.12555556,27.2205,423.2777778,705.8333333,0.004768041,-1.01,0,0.709,1
2/4/2015 18:00,22.62652778,27.38827778,48.875,655.7277778,0.004654066,-1.38,0,0.724,1
2/4/2015 19:00,22.06505464,27.1810929,0,572.3989071,0.004462266,-1.85,0,0.744,0
2/4/2015 20:00,21.67677966,26.75559322,0,521.0480226,0.004288263,-1.68,0,0.737,0
2/4/2015 21:00,21.47893056,25.91169444,0,493.7986111,0.004101711,-1.88,0,0.745,0
2/4/2015 22:00,21.3281694,25.69262295,0,476.8729508,0.004029118,-1.85,0,0.744,0
2/4/2015 23:00,21.20347458,25.41771186,0,466.2528249,0.003955138,-1.89,0,0.745,0
2/5/2015 0:00,21.20080556,25.29666667,0,453.8722222,0.003935499,-2.17,0,0.757,0
